학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00786,소프트웨어와인공지능,3(3)
2학년/1학기,전공핵심,MCM009,AI를위한수학 I,3(3)
2학년/1학기,전공핵심,MCM005,프로그래밍기초,3(3)
2학년/1학기,전공선택,MCM010,C++프로그래밍,3(4)
2학년/1학기,전공선택,MCM008,오픈소스SW의이해,2(2)
2학년/2학기,전공핵심,MCM004,JAVA프로그래밍,3(4)
2학년/2학기,전공핵심,MCM020,웹프로그래밍 I,3(3)
2학년/2학기,전공핵심,MCM003,컴퓨터구조,3(3)
2학년/2학기,전공선택,MCM006,데이터분석,3(3)
3학년/1학기,전공핵심,MCM017,기계학습,3(3)
3학년/1학기,전공핵심,MCM001,운영체제,3(3)
3학년/1학기,전공핵심,MCM002,자료구조,3(3)
3학년/1학기,전공핵심,MCM025,현장실습(소프트웨어응용),3(3)
3학년/1학기,전공선택,MCM024,임베디드시스템(Arduino),3(4)
3학년/2학기,전공핵심,MCM014,게임프로그래밍 I,3(4)
3학년/2학기,전공핵심,MCM019,디지털미디어제작,3(4)
3학년/2학기,전공선택,MCM018,데이터시각화,3(4)
4학년/1학기,전공핵심,MCM011,UX/UI디자인 I,3(4)
4학년/1학기,전공핵심,MCM007,메타버스프로그래밍,3(4)
4학년/1학기,전공핵심,MCM021,융합CDP(1),2(4)
4학년/1학기,전공핵심,MCM025,현장실습(소프트웨어응용),3(3)
4학년/1학기,전공선택,MCM015,게임프로그래밍 II,3(4)
4학년/1학기,전공선택,MCM023,인터랙션미디어콘텐츠(피지컬컴퓨팅),3(4)
4학년/2학기,전공핵심,MCM022,융합CDP(2),2(4)
4학년/2학기,전공핵심,MCM025,현장실습(소프트웨어응용),3(3)
4학년/2학기,전공선택,MCM012,UX/UI디자인 II,3(4)
4학년/2학기,전공선택,MCM013,게임기획및제작,3(4)
4학년/2학기,전공선택,MCM016,공간체험형콘텐츠,3(4)
