학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00210,생활법률,3(3)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/1학기,교양필수,U00519,행정학의이해,3(3)
1학년/1학기,교양필수,U00639,현대사회와범죄,3(3)
1학년/1학기,전공선택,YPD041,경찰무도(1),2(3)
1학년/1학기,전공선택,YPD016,경찰학원서강독(1),3(3)
1학년/1학기,전공선택,YPD059,공직적성론,3(3)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00270,심리학의이해,3(3)
1학년/2학기,전공선택,YPD042,경찰무도(2),2(3)
1학년/2학기,전공선택,YPD028,민법총칙,3(3)
1학년/2학기,전공선택,YPD060,법학적성론,3(3)
1학년/2학기,전공선택,YPD032,행정학원론,3(3)
1학년/2학기,전공선택,YPD010,형법(1),3(3)
2학년/1학기,전공필수,YPD055,경찰학개론,3(3)
2학년/1학기,전공필수,YPD022,형법(2),3(3)
2학년/1학기,전공선택,YPD043,경찰무도(3),2(3)
2학년/1학기,전공선택,YPD020,헌법(1),3(3)
2학년/1학기,전공선택,YPD019,형사소송법(1),3(3)
2학년/2학기,전공필수,YPD003,형사소송법(2),3(3)
2학년/2학기,전공선택,YPD044,경찰무도(4),2(3)
2학년/2학기,전공선택,YPD057,경찰생활안전·교통론,3(3)
2학년/2학기,전공선택,YPD009,경찰학원서강독(2),3(3)
2학년/2학기,전공선택,YPD027,헌법(2),3(3)
2학년/2학기,전공선택,YPD011,형법(3),3(3)
3학년/1학기,전공필수,YPD026,범죄학,3(3)
3학년/1학기,전공선택,YPD056,경찰경비·정보론,3(3)
3학년/1학기,전공선택,YPD045,경찰체포술(1),2(3)
3학년/1학기,전공선택,YPD035,행정법(1),3(3)
3학년/1학기,전공선택,YPD049,형사법연습,3(3)
3학년/2학기,전공선택,YPD040,경찰관서현장실습,2(2)
3학년/2학기,전공선택,YPD046,경찰체포술(2),2(3)
3학년/2학기,전공선택,YPD002,범죄심리학,3(3)
3학년/2학기,전공선택,YPD031,행정법(2),3(3)
4학년/1학기,전공필수,YPD007,범죄예방론,3(3)
4학년/1학기,전공선택,YPD051,경찰과법,3(3)
4학년/1학기,전공선택,YPD017,민간경비론,3(3)
4학년/1학기,전공선택,YPD024,청소년비행론,3(3)
4학년/2학기,전공필수,YPD014,경찰법,3(3)
4학년/2학기,전공선택,YPD023,범죄수사론,3(3)
4학년/2학기,전공선택,YPD053,지역사회경찰활동,3(3)
4학년/2학기,전공선택,YPD006,피해자학,3(3)
4학년/2학기,전공선택,YPD058,행정구제법,3(3)
4학년/2학기,전공선택,YPD039,행정학연습,3(3)
