학년/학기,구분,학수번호,교과목명,학점(시간)
2학년/1학기,전공선택,EC0131,기업금융의이해(1),3(3)
2학년/1학기,전공선택,STA008,기초확률및분포이론,3(3)
2학년/1학기,전공선택,MAT095,미분방정식,3(3)
2학년/1학기,전공선택,EC0076,미시경제학,3(3)
2학년/1학기,전공선택,MAT032,선형대수학,3(3)
2학년/1학기,전공선택,MAT092,확률및통계,3(3)
2학년/2학기,전공선택,EC0130,기업금융의이해(2),3(3)
2학년/2학기,전공선택,MAT103,응용선형대수학,3(3)
3학년/1학기,전공선택,IEB018,국제금융론,3(3)
3학년/1학기,전공선택,IEB053,금융투자론,3(3)
3학년/1학기,전공선택,MAT019,보험수학(1),3(3)
3학년/1학기,전공선택,EC0142,보험시장분석,3(3)
3학년/1학기,전공선택,STA027,보험통계,3(3)
3학년/1학기,전공선택,STA037,수리통계학개론(1),3(3)
3학년/1학기,전공선택,EC0143,은행이론과실제,3(3)
3학년/1학기,전공선택,EC0116,파생금융상품의이해,3(3)
3학년/2학기,전공선택,IEB041,국제통화금융,3(3)
3학년/2학기,전공선택,IEB054,기초계량분석,3(3)
3학년/2학기,전공선택,IEB086,보험론,3(3)
3학년/2학기,전공선택,EC0144,증권시장과투자분석,3(3)
3학년/2학기,전공선택,STA106,확률과정모형,3(3)
4학년/1학기,전공선택,IEB051,글로벌재무관리,3(3)
4학년/1학기,전공선택,STA003,금융통계학입문,3(3)
4학년/1학기,전공선택,IEB084,보험경영론,3(3)
4학년/2학기,전공선택,STA002,금융통계학,3(3)
4학년/2학기,전공선택,MAT020,보험수학(2),3(3)
