학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00911,대학생활과전공설계,1(1)
1학년/1학기,교양필수,U00145,미분적분학(1),3(3)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/1학기,교양필수,U00361,일반물리(1),3(3)
1학년/1학기,교양필수,U00364,일반물리실험(1),1(2)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00258,실용영어,3(3)
1학년/2학기,교양필수,U00362,일반물리(2),3(3)
1학년/2학기,교양필수,U00365,일반물리실험(2),1(2)
1학년/2학기,교양필수,U00798,파이썬프로그래밍,3(3)
2학년/1학기,전공핵심,ADS002,논리회로,3(3)
2학년/1학기,전공핵심,ADS028,전기전자회로기초,3(3)
2학년/1학기,전공핵심,ADS012,전자기학(1),3(3)
2학년/1학기,전공핵심,ADS025,전자회로와실습,3(5)
2학년/1학기,전공핵심,ADS015,회로이론,3(3)
2학년/1학기,전공선택,ADS016,CAD및실습,2(3)
2학년/1학기,전공선택,ADS019,반도체공정,3(6)
2학년/2학기,전공핵심,ADS003,물리전자,3(3)
2학년/2학기,전공핵심,ADS010,응용고체역학,3(3)
2학년/2학기,전공핵심,ADS013,전자기학(2),3(3)
2학년/2학기,전공핵심,ADS014,전자회로,3(3)
2학년/2학기,전공선택,ADS009,양자화학,3(3)
2학년/2학기,전공선택,ADS029,전기전자회로심화,3(3)
3학년/1학기,전공핵심,ADS004,반도체공학,3(3)
3학년/1학기,전공핵심,ADS007,양자역학(1),3(3)
3학년/1학기,전공선택,ADS031,반도체공정장비,3(3)
3학년/1학기,전공선택,ADS036,반도체공정장비실습,2(4)
3학년/1학기,전공선택,ADS034,반도체소자물리,3(3)
3학년/2학기,전공핵심,ADS018,고체물리학,3(3)
3학년/2학기,전공핵심,ADS006,반도체재료,3(3)
3학년/2학기,전공핵심,ADS011,자동제어,3(3)
3학년/2학기,전공선택,ADS001,기기분석(2),3(3)
3학년/2학기,전공선택,ADS005,반도체공학실험,1(2)
3학년/2학기,전공선택,ADS033,반도체물리,3(3)
3학년/2학기,전공선택,ADS008,양자역학(2),3(3)
3학년/2학기,전공선택,ADS020,열및통계물리학,3(3)
3학년/2학기,전공선택,ADS022,태양전지소재,3(3)
4학년/1학기,전공핵심,ADS032,반도체나노공정실험,2(4)
4학년/1학기,전공선택,ADS027,ICT융합통신공학,3(3)
4학년/1학기,전공선택,ELT185,WBG디스플레이소자공정실험,2(3)
4학년/1학기,전공선택,ADS035,고주파소자공정실험,2(3)
4학년/1학기,전공선택,CHE145,광전자반응동역학,3(3)
4학년/1학기,전공선택,ADS021,전자재료공정,3(3)
4학년/1학기,전공선택,ADS023,컴퓨터비전프로그래밍및응용,2(2)
4학년/2학기,전공선택,CHE144,반도체재료의합성과분석,3(3)
