학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00911,대학생활과전공설계,1(1)
1학년/1학기,교양필수,U00145,미분적분학(1),3(3)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/1학기,교양필수,U00361,일반물리(1),3(3)
1학년/1학기,교양필수,U00364,일반물리실험(1),1(2)
1학년/1학기,교양필수,U00374,일반화학(1),3(3)
1학년/1학기,교양필수,U00377,일반화학실험(1),1(2)
1학년/2학기,교양필수,U00800,계열실무영어,3(3)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00365,일반물리실험(2),1(2)
1학년/2학기,교양필수,U00378,일반화학실험(2),1(2)
1학년/2학기,교양필수,U00798,파이썬프로그래밍,3(3)
1학년/2학기,전공선택,CEN175,화공기초설계,2(2)
2학년/1학기,전공핵심,CEC004,공업수학(1),3(3)
2학년/1학기,전공핵심,CEC029,기초실험(1),2(4)
2학년/1학기,전공핵심,CEC008,물리화학,3(3)
2학년/1학기,전공핵심,CEC027,물질수지,3(3)
2학년/1학기,전공핵심,CEC014,유기화학(1),3(3)
2학년/2학기,전공핵심,CEC026,공학수학및컴퓨터패키지실습,3(4)
2학년/2학기,전공핵심,CEC030,기초실험(2),2(4)
2학년/2학기,전공핵심,CEC028,에너지수지,3(3)
2학년/2학기,전공핵심,CEC019,화공유체역학,3(3)
2학년/2학기,전공선택,CEC023,고체화학,3(3)
2학년/2학기,전공선택,CEC011,양자화학,3(3)
2학년/2학기,전공선택,CEC015,유기화학(2),3(3)
3학년/1학기,전공핵심,CEC012,열전달,3(3)
3학년/1학기,전공핵심,CEC017,화공열역학(1),3(3)
3학년/1학기,전공핵심,CEC022,화학공학실험(1),2(4)
3학년/1학기,전공선택,CEC002,고분자화학(1),3(3)
3학년/1학기,전공선택,CEC005,기기분석(1),3(3)
3학년/1학기,전공선택,CEC007,무기화학,3(3)
3학년/1학기,전공선택,CEC051,반도체소자공학,3(3)
3학년/1학기,전공선택,CEC052,전기화학공학,3(3)
3학년/2학기,전공핵심,CEC009,반응공학(1),3(3)
3학년/2학기,전공핵심,CEC021,화학공학실험(2),2(4)
3학년/2학기,전공핵심,CEC033,화학공학캡스톤디자인(1),2(4)
3학년/2학기,전공선택,CEC003,고분자화학(2),3(3)
3학년/2학기,전공선택,CEC006,기기분석(2),3(3)
3학년/2학기,전공선택,CEC045,생물화학,3(3)
3학년/2학기,전공선택,CEC043,유기광전소재,3(3)
3학년/2학기,전공선택,CEC049,이차전지,3(3)
3학년/2학기,전공선택,CEC024,현장실습(화공1),3(3)
3학년/2학기,전공선택,CEC018,화공열역학(2),3(3)
4학년/1학기,전공핵심,CEC034,화학공학캡스톤디자인(2),2(4)
4학년/1학기,전공선택,CEC032,전자재료공정,3(3)
4학년/1학기,전공선택,CEC041,취업및진로개발,2(2)
4학년/1학기,전공선택,CEC025,현장실습(화공2),3(3)
4학년/1학기,전공선택,CEC016,화공세미나,1(1)
4학년/1학기,전공선택,CEC050,화공실무,3(3)
4학년/2학기,전공선택,CEC001,고분자물성,3(3)
4학년/2학기,전공선택,CEC036,고분자전자재료,3(3)
4학년/2학기,전공선택,CEC037,광전자소자제작실습,2(4)
4학년/2학기,전공선택,CEC046,에너지와녹색기술,3(3)
4학년/2학기,전공선택,CEC016,화공세미나,1(1)
