학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00066,기업회계의이해,3(3)
1학년/1학기,교양필수,U00072,기초수학,3(3)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00374,일반화학(1),3(3)
1학년/1학기,교양필수,U00377,일반화학실험(1),1(2)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/2학기,교양필수,U00258,실용영어,3(3)
1학년/2학기,교양필수,U00469,통계학(1),3(3)
1학년/2학기,전공핵심,ENV098,환경공학계산,3(3)
2학년/1학기,전공핵심,ENV148,환경공업수학,3(3)
2학년/1학기,전공핵심,ENV126,환경오염생태학,3(3)
2학년/1학기,전공핵심,ENV135,환경화학,3(3)
2학년/1학기,전공선택,ENV123,환경에너지계산,3(3)
2학년/2학기,전공핵심,ENV029,대기환경관리,3(3)
2학년/2학기,전공핵심,ENV048,수질관리,3(3)
2학년/2학기,전공핵심,ENV168,에코환경분석화학,3(3)
2학년/2학기,전공핵심,ENV129,환경유체역학,3(3)
2학년/2학기,전공선택,ENV161,기후변화와환경정책,3(3)
2학년/2학기,전공선택,ENV106,환경기초실험,3(6)
3학년/1학기,전공핵심,ENV163,에코물리화학적수처리,3(3)
3학년/1학기,전공핵심,ENV165,에코수리학,3(3)
3학년/1학기,전공핵심,ENV166,에코폐기물관리,3(3)
3학년/1학기,전공선택,ENV084,집진공학,3(3)
3학년/1학기,전공선택,ENV016,대기오염기상학,3(3)
3학년/1학기,전공선택,ENV145,수질공정시험법및실습,2(4)
3학년/1학기,전공선택,ENV116,환경반응공학,3(3)
3학년/2학기,전공핵심,ENV154,상하수도공학및정수처리실습,3(4)
3학년/2학기,전공핵심,ENV164,에코생물학적수처리,3(3)
3학년/2학기,전공핵심,ENV159,지속가능물보전PBL1,3(5)
3학년/2학기,전공핵심,ENV086,토양환경,3(3)
3학년/2학기,전공선택,ENV045,수문학,3(3)
3학년/2학기,전공선택,ENV142,연소및배가스제어,3(3)
3학년/2학기,전공선택,ENV151,현장실습(환경1),3(3)
3학년/2학기,전공선택,ENV105,환경기기분석,3(3)
4학년/1학기,전공선택,ENV062,슬러지처리,3(3)
4학년/1학기,전공선택,ENV162,에코고도수처리,3(3)
4학년/1학기,전공선택,ENV167,에코환경모델링및실습,3(4)
4학년/1학기,전공선택,ENV160,지속가능물보전PBL2,3(5)
4학년/1학기,전공선택,ENV152,현장실습(환경2),3(3)
4학년/1학기,전공선택,ENV115,환경바이오학실습,2(4)
4학년/1학기,전공선택,ENV155,환경정책과법규의이해,2(2)
4학년/2학기,전공선택,ENV153,빅데이터기반환경공간정보체계,3(4)
4학년/2학기,전공선택,ENV157,산업안전,3(3)
4학년/2학기,전공선택,ENV124,환경영향평가,2(2)
4학년/2학기,전공선택,ENV147,환경전과정평가및실습,3(4)
