학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00270,심리학의이해,3(3)
1학년/1학기,교양필수,U00336,의사소통기술,3(3)
1학년/2학기,교양필수,U00616,뇌와인간,3(3)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00195,삶의기술,3(3)
1학년/2학기,교양필수,U00786,소프트웨어와인공지능,3(3)
2학년/1학기,전공핵심,PSY019,사회심리학,3(3)
2학년/1학기,전공핵심,PSY027,상담심리학,3(3)
2학년/1학기,전공핵심,PSY031,생리심리학,3(3)
2학년/1학기,전공핵심,PSY036,성격심리학,3(3)
2학년/1학기,전공핵심,PSY050,심리통계학,3(3)
2학년/1학기,전공핵심,PSY075,인지심리학,3(3)
2학년/2학기,전공핵심,PSY001,가족상담,3(3)
2학년/2학기,전공핵심,PSY007,긍정심리학,3(3)
2학년/2학기,전공핵심,PSY016,발달심리학,3(3)
2학년/2학기,전공핵심,PSY115,법심리학,3(3)
2학년/2학기,전공핵심,PSY073,이상심리학,3(3)
2학년/2학기,전공핵심,PSY106,청소년상담,3(3)
2학년/2학기,전공핵심,PSY096,학습심리학,3(3)
3학년/1학기,전공선택,PSY119,범죄심리와일탈행동,3(3)
3학년/1학기,전공선택,PSY105,상담자역량개발,3(3)
3학년/1학기,전공선택,PSY030,상담현장실습,3(3)
3학년/1학기,전공선택,PSY048,심리치료,3(3)
3학년/1학기,전공선택,PSY078,일상생활의심리학,3(3)
3학년/1학기,전공선택,PSY080,임상심리학,3(3)
3학년/1학기,전공선택,PSY092,집단상담,3(3)
3학년/2학기,전공핵심,PSY052,심리평가,3(3)
3학년/2학기,전공핵심,PSY058,심리학연구방법론,3(3)
3학년/2학기,전공핵심,PSY107,인지신경과학,3(3)
3학년/2학기,전공선택,PSY004,건강심리학,3(3)
3학년/2학기,전공선택,PSY067,언어심리학,3(3)
3학년/2학기,전공선택,PSY082,임상현장실습,3(3)
4학년/1학기,전공선택,PSY114,노년심리학,3(3)
4학년/1학기,전공선택,PSY013,리더십과커뮤니케이션,3(3)
4학년/1학기,전공선택,PSY118,발달정신병리학,3(3)
4학년/1학기,전공선택,PSY023,산업심리현장실습,2(2)
4학년/1학기,전공선택,PSY116,심리학실험설계,3(3)
4학년/1학기,전공선택,PSY108,응용인지현장실습,3(3)
4학년/1학기,전공선택,PSY120,프로파일링과수사심리,3(3)
4학년/2학기,전공선택,PSY021,산업심리학,3(3)
4학년/2학기,전공선택,PSY113,상담이론과실제,3(3)
4학년/2학기,전공선택,PSY093,창의력과문제해결,3(3)
4학년/2학기,전공선택,PSY101,행복의심리학,3(3)
