학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00009,결혼과가족,3(3)
1학년/1학기,교양필수,U00911,대학생활과전공설계,1(1)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/1학기,전공핵심,HUM034,휴먼서비스론,3(3)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00258,실용영어,3(3)
1학년/2학기,교양필수,U00207,심리학의이해,3(3)
1학년/2학기,전공핵심,HUM008,인간행동과사회환경,3(3)
1학년/2학기,전공선택,HUM037,사회복지학개론,3(3)
2학년/1학기,전공핵심,HUM001,가족관계,3(3)
2학년/1학기,전공핵심,HUM023,미술치료학개론,3(3)
2학년/1학기,전공핵심,HUM004,사회복지정책론,3(3)
2학년/1학기,전공핵심,HUM002,상담심리학,3(3)
2학년/1학기,전공선택,HUM018,가족미술치료,3(3)
2학년/2학기,전공핵심,HUM015,가족상담및가족치료,3(3)
2학년/2학기,전공핵심,HUM043,집단미술치료,3(4)
2학년/2학기,전공선택,HUM044,건강가정론,3(3)
2학년/2학기,전공선택,HUM026,사회복지와문화다양성,3(3)
2학년/2학기,전공선택,HUM010,인간발달,3(3)
2학년/2학기,전공선택,HUM031,장애아동의이해,3(3)
3학년/1학기,전공핵심,HUM005,사회복지조사론,3(3)
3학년/1학기,전공핵심,HUM006,사회복지행정론,3(3)
3학년/1학기,전공선택,HUM039,매체연구및실습,3(4)
3학년/1학기,전공선택,HUM041,이상심리,3(3)
3학년/1학기,전공선택,HUM014,청소년상담,3(3)
3학년/2학기,전공핵심,HUM025,부모교육상담,3(3)
3학년/2학기,전공핵심,HUM016,사회복지법제와실천,3(3)
3학년/2학기,전공핵심,HUM040,유아동미술치료,3(4)
3학년/2학기,전공선택,HUM012,사회복지자료분석론,3(3)
3학년/2학기,전공선택,HUM028,심리평가와측정,3(3)
3학년/2학기,전공선택,HUM042,장애아동미술재활,3(3)
4학년/1학기,전공핵심,HUM021,미술심리진단평가,3(4)
4학년/1학기,전공선택,HUM013,가족생활교육,3(3)
4학년/1학기,전공선택,HUM038,건강가정현장실습,3(3)
4학년/1학기,전공선택,HUM039,미술치료사례연구,3(3)
4학년/1학기,전공선택,HUM011,프로그램개발과평가,3(3)
4학년/2학기,전공핵심,HUM024,미술치료현장실습,3(3)
4학년/2학기,전공핵심,HUM010,사회복지실천기술론,3(3)
4학년/2학기,전공선택,HUM019,국제사회복지론,3(3)
4학년/2학기,전공선택,HUM020,놀이치료및실습,3(4)
4학년/2학기,전공선택,HUM045,임상실습및슈퍼비전Ⅱ,3(3)
4학년/2학기,전공선택,HUM009,정신건강론,3(3)
