학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00145,미분적분학(1),3(3)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/1학기,교양필수,U00361,일반물리(1),3(3)
1학년/1학기,교양필수,U00364,일반물리실험(1),1(2)
1학년/1학기,교양필수,U00374,일반화학(1),3(3)
1학년/1학기,교양필수,U00377,일반화학실험(1),1(2)
1학년/2학기,교양필수,U00800,계열실무영어,3(3)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00365,일반물리실험(2),1(2)
1학년/2학기,교양필수,U00378,일반화학실험(2),1(2)
1학년/2학기,교양필수,U00798,파이썬프로그래밍,3(3)
1학년/2학기,전공선택,CEN175,화공기초설계,2(2)
2학년/1학기,전공핵심,CES003,공업수학(1),3(3)
2학년/1학기,전공핵심,CES037,기초실험(1),2(4)
2학년/1학기,전공핵심,CES008,물리화학,3(3)
2학년/1학기,전공핵심,CES035,물질수지,3(3)
2학년/1학기,전공핵심,CES019,유기화학(1),3(3)
2학년/2학기,전공핵심,CES038,기초실험(2),2(4)
2학년/2학기,전공핵심,CES036,에너지수지,3(3)
2학년/2학기,전공핵심,CES025,화공유체역학,3(3)
2학년/2학기,전공선택,CES033,공학수학및컴퓨터패키지실습,3(4)
2학년/2학기,전공선택,CES016,양자화학,3(3)
2학년/2학기,전공선택,CES020,유기화학(2),3(3)
3학년/1학기,전공핵심,CES017,열전달,3(3)
3학년/1학기,전공핵심,CES023,화공열역학(1),3(3)
3학년/1학기,전공핵심,CES029,화학공학실험(1),2(4)
3학년/1학기,전공선택,CES002,고분자화학(1),3(3)
3학년/1학기,전공선택,CES048,공업화학,3(3)
3학년/1학기,전공선택,CES005,기기분석(1),3(3)
3학년/1학기,전공선택,CES007,무기화학,3(3)
3학년/1학기,전공선택,CES009,물질전달,3(3)
3학년/1학기,전공선택,CES015,수치해석,3(3)
3학년/2학기,전공핵심,CES004,공정제어,3(3)
3학년/2학기,전공핵심,CES010,반응공학(1),3(3)
3학년/2학기,전공핵심,CES024,화공열역학(2),3(3)
3학년/2학기,전공핵심,CES028,화학공학실험(2),2(4)
3학년/2학기,전공핵심,CES043,화학공학캡스톤디자인(1),2(4)
3학년/2학기,전공선택,T00177,공업교재연구및지도법,3(3)
3학년/2학기,전공선택,CES006,기기분석(2),3(3)
3학년/2학기,전공선택,CES013,생물화학,3(3)
3학년/2학기,전공선택,CES030,현장실습(화공1),3(3)
4학년/1학기,전공핵심,CES044,화학공학캡스톤디자인(2),2(4)
4학년/1학기,전공선택,T00161,공업교육론,3(3)
4학년/1학기,전공선택,CES042,공정시스템설계,3(3)
4학년/1학기,전공선택,CES011,반응공학(2),3(3)
4학년/1학기,전공선택,CES012,분리공정,3(3)
4학년/1학기,전공선택,CES014,생물화학공학,3(3)
4학년/1학기,전공선택,CES021,이동현상,3(3)
4학년/1학기,전공선택,CES045,취업및진로개발,2(2)
4학년/1학기,전공선택,CES031,현장실습(화공2),3(3)
4학년/1학기,전공선택,CES022,화공세미나,1(1)
4학년/1학기,전공선택,CES049,화공실무,3(3)
4학년/1학기,전공선택,CES046,화공장치및안전설계,3(4)
4학년/2학기,전공선택,CES001,고분자물성,3(3)
4학년/2학기,전공선택,T00147,공업논리및논술,2(2)
4학년/2학기,전공선택,CES039,공정종합설계및실습,3(4)
4학년/2학기,전공선택,CES022,화공세미나,1(1)
4학년/2학기,전공선택,CES027,환경화학공학,3(3)
