학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00708,융복합글쓰기,3(3)
1학년/1학기,교양필수,U00532,현대사회와스포츠,3(3)
1학년/1학기,전공핵심,SP0225,기초실기워크숍(1),1(1.5)
1학년/1학기,전공핵심,SP0153,전공실기(1),2(3)
1학년/1학기,전공선택,SP0247,생활과학의이해,1(1)
1학년/1학기,전공선택,SP0116,에어로빅운동,1(1.5)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/2학기,교양필수,U00258,실용영어,3(3)
1학년/2학기,교양필수,U00323,운동과건강,3(3)
1학년/2학기,전공핵심,SP0228,기초실기워크숍(2),1(1.5)
1학년/2학기,전공핵심,SP0149,인체해부학,2(2)
1학년/2학기,전공핵심,SP0154,전공실기(2),2(3)
1학년/2학기,전공핵심,SP0173,체육원리,2(2)
2학년/1학기,전공핵심,SP0016,농구,2(3)
2학년/1학기,전공핵심,SP0082,수영,2(3)
2학년/1학기,전공핵심,SP0098,스포츠심리학,3(3)
2학년/1학기,전공핵심,SP0126,운동생리학,3(3)
2학년/1학기,전공핵심,SP0191,트레이닝원리와방법,2(2)
2학년/1학기,전공선택,SP0255,뉴스포츠,1(1.5)
2학년/1학기,전공선택,SP0181,체조(1),1(1.5)
2학년/1학기,전공선택,SP0188,테니스,2(3)
2학년/2학기,전공핵심,SP0248,동계스포츠,1(1.5)
2학년/2학기,전공핵심,SP0067,배구,2(3)
2학년/2학기,전공핵심,SP0088,스포츠영양학,3(3)
2학년/2학기,전공핵심,SP0096,스포츠사회학,2(2)
2학년/2학기,전공핵심,SP0104,육상경기,2(3)
2학년/2학기,전공선택,SP0005,골프,2(3)
2학년/2학기,전공선택,SP0101,스포츠영어,2(2)
2학년/2학기,전공선택,SP0182,체조(2),1(1.5)
2학년/2학기,전공선택,SP0183,축구,2(3)
3학년/1학기,전공핵심,SP0258,체육철학과역사,3(3)
3학년/1학기,전공선택,SP0077,수상스포츠,2(3)
3학년/1학기,전공선택,SP0091,스포츠마사지,1(1.5)
3학년/1학기,전공선택,SP0094,스포츠마케팅,3(3)
3학년/1학기,전공선택,SP0102,스포츠의학,2(2)
3학년/1학기,전공선택,SP0111,야구,2(3)
3학년/1학기,전공선택,SP0137,유도,2(3)
3학년/2학기,전공핵심,SP0099,스포츠역학,3(3)
3학년/2학기,전공핵심,SP0175,체육측정평가,3(3)
3학년/2학기,전공선택,SP0068,배드민턴,2(3)
3학년/2학기,전공선택,SP0246,스포츠재활,2(3)
3학년/2학기,전공선택,SP0131,운동학습과제어,3(3)
3학년/2학기,전공선택,T00119,체육교재연구및지도법,3(3)
3학년/2학기,전공선택,SP0207,핸드볼,2(3)
4학년/1학기,전공핵심,SP0257,연구설계및자료분석,2(2)
4학년/1학기,전공선택,SP0001,건강교육,3(3)
4학년/1학기,전공선택,SP0097,스포츠시설및이벤트관리,2(2)
4학년/1학기,전공선택,SP0252,스포츠심리상담,3(3)
4학년/1학기,전공선택,SP0113,야외교육,2(2)
4학년/1학기,전공선택,SP0129,운동처방의실제,2(3)
4학년/1학기,전공선택,T00117,체육교육론,3(3)
4학년/1학기,전공선택,T00169,체육논리및논술,2(2)
4학년/1학기,전공선택,SP0186,태권도,2(3)
4학년/2학기,전공선택,SP0070,볼링,2(3)
4학년/2학기,전공선택,SP0095,스포츠문화이슈,2(2)
4학년/2학기,전공선택,SP0104,스포츠현장실습,2(2)
4학년/2학기,전공선택,SP0127,운동영양학,2(2)
4학년/2학기,전공선택,SP0147,응급처치법,1(1.5)
4학년/2학기,전공선택,SP0185,탁구,1(1.5)
