학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00145,미분적분학(1),3(3)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/1학기,교양필수,U00361,일반물리(1),3(3)
1학년/1학기,교양필수,U00364,일반물리실험(1),1(2)
1학년/1학기,교양필수,U00374,일반화학(1),3(3)
1학년/1학기,교양필수,U00377,일반화학실험(1),1(2)
1학년/2학기,교양필수,U00800,계열실무영어,3(3)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00365,일반물리실험(2),1(2)
1학년/2학기,교양필수,U00378,일반화학실험(2),1(2)
1학년/2학기,교양필수,U00798,파이썬프로그래밍,3(3)
1학년/2학기,전공선택,CEN175,화공기초설계,2(2)
2학년/1학기,전공핵심,ACE003,공업수학(1),3(3)
2학년/1학기,전공핵심,ACE033,기초실험(1),2(4)
2학년/1학기,전공핵심,ACE008,물리화학,3(3)
2학년/1학기,전공핵심,ACE031,물질수지,3(3)
2학년/1학기,전공핵심,ACE018,유기화학(1),3(3)
2학년/1학기,전공선택,CPB044,바이오생체재료,3(3)
2학년/1학기,전공선택,CPB015,재료과학,3(3)
2학년/2학기,전공핵심,ACE034,기초실험(2),2(4)
2학년/2학기,전공핵심,ACE032,에너지수지,3(3)
2학년/2학기,전공핵심,ACE024,화공유체역학,3(3)
2학년/2학기,전공선택,ACE030,공학수학및컴퓨터패키지실습,3(4)
2학년/2학기,전공선택,ACE016,양자화학,3(3)
2학년/2학기,전공선택,ACE019,유기화학(2),3(3)
3학년/1학기,전공핵심,ACE017,열전달,3(3)
3학년/1학기,전공핵심,ACE022,화공열역학(1),3(3)
3학년/1학기,전공핵심,ACE027,화학공학실험(1),2(4)
3학년/1학기,전공선택,CPB023,고분자프로세싱,3(3)
3학년/1학기,전공선택,ACE002,고분자화학(1),3(3)
3학년/1학기,전공선택,CPB004,고분자화학(2),3(3)
3학년/1학기,전공선택,ACE005,기기분석(1),3(3)
3학년/1학기,전공선택,ACE009,물질전달,3(3)
3학년/2학기,전공핵심,ACE004,공정제어,3(3)
3학년/2학기,전공핵심,ACE010,반응공학(1),3(3)
3학년/2학기,전공핵심,ACE023,화공열역학(2),3(3)
3학년/2학기,전공핵심,ACE026,화학공학실험(2),2(4)
3학년/2학기,전공핵심,ACE037,화학공학캡스톤디자인(1),2(4)
3학년/2학기,전공선택,T00177,공업교재연구및지도법,3(3)
3학년/2학기,전공선택,ACE013,생물화학,3(3)
3학년/2학기,전공선택,CPB032,엔지니어링플라스틱,3(3)
3학년/2학기,전공선택,ACE028,현장실습(화공1),3(3)
4학년/1학기,전공핵심,ACE038,화학공학캡스톤디자인(2),2(4)
4학년/1학기,전공선택,T00161,공업교육론,3(3)
4학년/1학기,전공선택,ACE036,공정시스템설계,3(3)
4학년/1학기,전공선택,ACE011,반응공학(2),3(3)
4학년/1학기,전공선택,ACE012,분리공정,3(3)
4학년/1학기,전공선택,ACE014,생물화학공학,3(3)
4학년/1학기,전공선택,ACE039,취업및진로개발,2(2)
4학년/1학기,전공선택,ACE029,현장실습(화공2),3(3)
4학년/1학기,전공선택,ACE021,화공세미나,1(1)
4학년/1학기,전공선택,ACE042,화공실무,3(3)
4학년/2학기,전공선택,ACE001,고분자물성,3(3)
4학년/2학기,전공선택,T00147,공업논리및논술,2(2)
4학년/2학기,전공선택,ACE035,공정종합설계및실습,3(4)
4학년/2학기,전공선택,ACE021,화공세미나,1(1)
