학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00911,대학생활과전공설계,1(1)
1학년/1학기,교양필수,U00103,도시의이해,3(3)
1학년/1학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/1학기,교양필수,U00258,실용영어,3(3)
1학년/1학기,교양필수,U00708,융복합글쓰기,3(3)
1학년/1학기,전공핵심,UPE032,도시계획사,2(2)
1학년/2학기,교양필수,U00017,경제학의이해,3(3)
1학년/2학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/2학기,교양필수,U00469,통계학(1),3(3)
1학년/2학기,전공핵심,UPE048,도시설계제도,2(4)
2학년/1학기,전공핵심,UPE008,교통공학,3(3)
2학년/1학기,전공핵심,UPE029,도시계획개론,3(3)
2학년/1학기,전공핵심,UPE044,도시설계CAD,2(4)
2학년/1학기,전공선택,UPE060,도시환경,3(3)
2학년/2학기,전공핵심,UPE021,단지계획,2(2)
2학년/2학기,전공핵심,UPE031,도시계획법,2(2)
2학년/2학기,전공핵심,UPE108,도시및교통통계분석,2(2)
2학년/2학기,전공선택,UPE112,도시빅데이터분석,2(2)
2학년/2학기,전공선택,UPE056,도시정보체계실습,2(4)
2학년/2학기,전공선택,UPE066,도시환경조사분석(1),2(3)
3학년/1학기,전공핵심,UPE002,계량도시분석,3(3)
3학년/1학기,전공핵심,UPE110,단지설계스튜디오,3(6)
3학년/1학기,전공핵심,UPE041,도시설계,2(2)
3학년/1학기,전공핵심,UPE096,토지이용계획,2(2)
3학년/1학기,전공선택,UPE103,교통설계,2(2)
3학년/1학기,전공선택,UPE067,도시환경조사분석(2),2(3)
3학년/1학기,전공선택,UPE117,스마트시티와도시재생,3(3)
3학년/2학기,전공핵심,UPE006,교통계획,3(3)
3학년/2학기,전공핵심,UPE027,도시개발론,2(2)
3학년/2학기,전공핵심,UPE113,도시설계스튜디오,3(6)
3학년/2학기,전공핵심,UPE061,도시환경시설계획,2(2)
3학년/2학기,전공선택,UPE116,스마트시티설계스튜디오,3(6)
3학년/2학기,전공선택,UPE105,도시설계세미나,2(2)
3학년/2학기,전공선택,UPE071,부동산개발론,3(3)
3학년/2학기,전공선택,UPE109,수리계획기법,3(3)
4학년/1학기,전공핵심,UPE014,교통시스템분석,3(3)
4학년/1학기,전공핵심,UPE092,지역계획,2(2)
4학년/1학기,전공선택,UPE107,교통운영,3(3)
4학년/1학기,전공선택,UPE034,도시공학세미나,1(2)
4학년/1학기,전공선택,UPE058,도시폐기물관리계획,2(2)
4학년/1학기,전공선택,UPE114,모빌리티정책,3(3)
4학년/1학기,전공선택,UPE115,미래도시의계획및설계,3(3)
4학년/1학기,전공선택,UPE118,스마트시티와디지털전환,2(2)
4학년/1학기,전공선택,UPE104,주민참여도시계획,3(3)
4학년/2학기,전공선택,UPE106,교통안전,2(2)
4학년/2학기,전공선택,UPE028,도시경제학,2(2)
4학년/2학기,전공선택,UPE111,도시모빌리티개론,3(3)
4학년/2학기,전공선택,UPE091,지능형교통체계,3(3)
4학년/2학기,전공선택,UPE101,환경계획,2(2)
