학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00034,교양원예,3(3)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/1학기,교양필수,U00562,생명과학입문,3(3)
1학년/1학기,교양필수,U00336,의사소통기술,3(3)
1학년/2학기,교양필수,U00015,경영학의이해,3(3)
1학년/2학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/2학기,교양필수,U00258,실용영어,3(3)
1학년/2학기,전공핵심,HLS123,도시원예학,3(3)
2학년/1학기,전공핵심,HLS131,세포생물학,3(3)
2학년/1학기,전공핵심,HLS033,식물생리학,3(3)
2학년/1학기,전공핵심,HLS137,식물의학,3(3)
2학년/1학기,전공핵심,HLS139,원예작물저장,3(3)
2학년/1학기,전공핵심,HLS125,화훼의이해,3(3)
2학년/2학기,전공핵심,HLS045,식물의생화분석,3(3)
2학년/2학기,전공핵심,HLS048,식물조직배양의이해,3(3)
2학년/2학기,전공선택,T00039,농업교육론,3(3)
2학년/2학기,전공선택,HLS136,식물곤충학,3(3)
2학년/2학기,전공선택,HLS046,식물재배원론,3(3)
3학년/1학기,전공핵심,HLS005,과수원예학,3(3)
3학년/1학기,전공핵심,HLS144,식물육종통계,3(3)
3학년/1학기,전공핵심,HLS116,식물호르몬,3(3)
3학년/1학기,전공선택,HLS133,과수원예및토양실험,2(4)
3학년/1학기,전공선택,T00152,농업논문작성,2(2)
3학년/1학기,전공선택,HLS135,시설원예및식물공장,3(3)
3학년/1학기,전공선택,HLS034,식물생명공학개론,3(3)
3학년/1학기,전공선택,HLS140,원예조직배양실험,2(4)
3학년/1학기,전공선택,HLS113,원예현장실습,3(3)
3학년/1학기,전공선택,HLS124,화훼장식디자인학,3(3)
3학년/2학기,전공핵심,HLS042,식물유전학,3(3)
3학년/2학기,전공선택,HLS134,관상의세계,3(3)
3학년/2학기,전공선택,T00040,농업과자연유전및지도법,3(3)
3학년/2학기,전공선택,HLS041,식물영양학,3(3)
3학년/2학기,전공선택,HLS138,원예기능성소재학,3(3)
3학년/2학기,전공선택,HLS117,원예생명공학실험,3(3)
3학년/2학기,전공선택,HLS150,원예조직실험,2(4)
3학년/2학기,전공선택,HLS113,원예현장실습,3(3)
3학년/2학기,전공선택,HLS142,잡초방제학,3(3)
3학년/2학기,전공선택,HLS121,채소원예약용작물,3(3)
3학년/2학기,전공선택,HLS104,화훼장식실습,2(4)
3학년/2학기,전공선택,HLS108,화훼품질유지및관리론,3(3)
4학년/1학기,전공선택,HLS132,4차산업명과원예생명과학,3(3)
4학년/1학기,전공선택,HLS126,국제원예학,3(3)
4학년/1학기,전공선택,HLS148,바이오캡스톤디자인(원예생명과학과),2(4)
4학년/1학기,전공선택,HLS141,원예치료와치유농업,3(3)
4학년/2학기,전공선택,HLS147,바이오의약품생산공정실무전략,3(4.5)
4학년/2학기,전공선택,HLS149,바이오캡스톤디자인2(원예생명과학과),2(4)
4학년/2학기,전공선택,HLS145,원예생태학,3(3)
4학년/2학기,전공선택,HLS055,원예학세미나,3(3)
4학년/2학기,전공선택,HLS146,친환경재배학,3(3)
