학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00072,기초수학,3(3)
1학년/1학기,교양필수,U00911,대학생활과전공설계,1(1)
1학년/1학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/1학기,교양필수,U00258,실용영어,3(3)
1학년/1학기,교양필수,U00361,일반물리(1),3(3)
1학년/1학기,교양필수,U00364,일반물리실험(1),1(2)
1학년/1학기,교양필수,U00798,파이썬프로그래밍,3(3)
1학년/2학기,교양필수,U00145,미분적분학(1),3(3)
1학년/2학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/2학기,전공핵심,MEC186,정역학,3(3)
2학년/1학기,전공핵심,MEC226,3D모델링,3(3)
2학년/1학기,전공핵심,MEC021,고체역학(1),3(3)
2학년/1학기,전공핵심,MEC030,공업수학(1),3(3)
2학년/1학기,전공핵심,MEC126,열역학(1),3(3)
2학년/1학기,전공선택,MEC063,기계재료,3(3)
2학년/2학기,전공핵심,MEC022,고체역학(2),3(3)
2학년/2학기,전공핵심,MEC042,기계공작법,3(3)
2학년/2학기,전공핵심,MEC079,동역학,3(3)
2학년/2학기,전공핵심,MEC127,열역학(2),3(3)
2학년/2학기,전공핵심,MEC139,유체역학(1),3(3)
2학년/2학기,전공선택,MEC007,CAD이론및실습,2(3)
2학년/2학기,전공선택,MEC031,공업수학(2),3(3)
3학년/1학기,전공핵심,MEC061,기계요소설계(1),3(3)
3학년/1학기,전공핵심,MEC069,기계진동,3(3)
3학년/1학기,전공선택,MEC047,기계공학실험(1),1(2)
3학년/1학기,전공선택,MEC070,기구학,3(3)
3학년/1학기,전공선택,MEC105,수치해석,3(3)
3학년/1학기,전공선택,MEC129,열전달,3(3)
3학년/1학기,전공선택,MEC140,유체역학(2),3(3)
3학년/1학기,전공선택,MEC143,응용CAD/CAM,3(3)
3학년/2학기,전공핵심,MEC217,기계공학과제1(캡스톤디자인),2(4)
3학년/2학기,전공선택,T00177,공업교재연구및지도법,3(3)
3학년/2학기,전공선택,MEC048,기계공학실험(2),1(2)
3학년/2학기,전공선택,MEC062,기계요소설계(2),3(3)
3학년/2학기,전공선택,MEC128,열유체시스템설계,3(3)
3학년/2학기,전공선택,MEC247,전산고체역학,3(3)
3학년/2학기,전공선택,MEC173,전산유체역학,3(3)
3학년/2학기,전공선택,MEC234,차체공정설계1,3(3)
3학년/2학기,전공선택,MEC243,컴퓨터계측및제어,3(3)
4학년/1학기,전공핵심,MEC218,기계공학과제2(캡스톤디자인),2(4)
4학년/1학기,전공선택,T00161,공업교육론,3(3)
4학년/1학기,전공선택,MEC245,미래에너지시스템(2차전지),3(3)
4학년/1학기,전공선택,MEC239,미래자동차및대체에너지,3(3)
4학년/1학기,전공선택,MEC246,인공지능의이해와응용,3(3)
4학년/1학기,전공선택,MEC156,자동제어,3(3)
4학년/1학기,전공선택,MEC235,차체공정설계2,3(3)
4학년/1학기,전공선택,MEC198,취업/현장기술세미나,1(1)
4학년/1학기,전공선택,MEC213,현장실습(기계),3(3)
4학년/2학기,전공선택,T00147,공업논리및논술,2(2)
4학년/2학기,전공선택,MEC244,미래모빌리티구동시스템,3(3)
4학년/2학기,전공선택,MEC157,자동차공학,3(3)
4학년/2학기,전공선택,MEC248,친환경차세대모빌리티마이크로/나노디바이스,3(3)
4학년/2학기,전공선택,MEC213,현장실습(기계),3(3)
