학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00911,대학생활과전공설계,1(1)
1학년/1학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/1학기,교양필수,U00361,일반물리(1),3(3)
1학년/1학기,전공핵심,RME065,공학입문설계,2(3)
1학년/1학기,전공핵심,RME079,기초공학수학,3(3)
1학년/2학기,교양필수,U00258,실용영어,3(3)
1학년/2학기,전공핵심,RME066,3D모델링,2(3)
1학년/2학기,전공핵심,RME069,MATLAB프로그래밍,2(3)
1학년/2학기,전공핵심,RME002,공업수학(1),3(3)
1학년/2학기,전공핵심,RME018,정역학,3(3)
2학년/1학기,교양필수,U00801,C프로그래밍,3(3)
2학년/1학기,전공핵심,RME001,고체역학,3(3)
2학년/1학기,전공핵심,RME007,논리회로,3(3)
2학년/1학기,전공핵심,RME008,논리회로실험,1(2)
2학년/1학기,전공핵심,RME076,전기전자회로기초,3(3)
2학년/1학기,전공선택,RME003,공업수학(2),3(3)
2학년/2학기,전공핵심,RME070,PYTHON프로그래밍,3(3)
2학년/2학기,전공핵심,RME010,동역학,3(3)
2학년/2학기,전공핵심,RME074,로봇기술성취도평가(1),1(1)
2학년/2학기,전공핵심,RME042,전기전자회로실험,1(2)
2학년/2학기,전공선택,RME072,계측및실습,2(3)
2학년/2학기,전공선택,RME073,구조설계역학,3(3)
2학년/2학기,전공선택,RME077,전기전자회로심화,3(3)
3학년/1학기,전공핵심,RME049,구조전산설계,2(3)
3학년/1학기,전공핵심,RME031,로봇공학실습,1(2)
3학년/1학기,전공핵심,RME051,로봇기구학,3(3)
3학년/1학기,전공선택,RME004,기계요소설계,3(3)
3학년/1학기,전공선택,RME045,신호및시스템,3(3)
3학년/1학기,전공선택,RME078,진동학,3(3)
3학년/1학기,전공선택,RME020,컴퓨터구조,3(3)
3학년/2학기,전공핵심,RME050,기구전산설계,2(3)
3학년/2학기,전공핵심,RME075,로봇기술성취도평가(2),1(1)
3학년/2학기,전공핵심,RME058,로봇종합설계1(캡스톤디자인),2(4)
3학년/2학기,전공핵심,RME015,인공지능,3(3)
3학년/2학기,전공핵심,RME016,자동제어,3(3)
3학년/2학기,전공선택,RME025,마이크로프로세서응용,2(2)
3학년/2학기,전공선택,RME013,수치해석,3(3)
3학년/2학기,전공선택,RME037,영상데이터처리,3(3)
4학년/1학기,전공선택,RME071,ROS프로그래밍,2(3)
4학년/1학기,전공선택,RME053,로봇종합설계2(캡스톤디자인),2(4)
4학년/1학기,전공선택,RME035,비전시스템,2(2)
4학년/1학기,전공선택,RME054,센서와엑츄에이터,2(3)
4학년/1학기,전공선택,RME038,임베디드설계와분석,2(2)
4학년/1학기,전공선택,RME063,취업/현장기술세미나,1(1)
4학년/1학기,전공선택,RME044,현장실습(로봇기계),3(3)
4학년/2학기,전공선택,RME048,고급프로그래밍,2(3)
4학년/2학기,전공선택,RME009,데이터통신,2(2)
4학년/2학기,전공선택,RME080,블록체인과암호화폐,2(2)
4학년/2학기,전공선택,RME044,현장실습(로봇기계),3(3)
