학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00802,빅데이터와지능정보사회의이해,3(3)
1학년/1학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/1학기,교양필수,U00361,일반물리(1),3(3)
1학년/1학기,교양필수,U00364,일반물리실험(1),1(2)
1학년/1학기,교양필수,U00374,일반화학(1),3(3)
1학년/1학기,교양필수,U00377,일반화학실험(1),1(2)
1학년/2학기,교양필수,U00072,기초수학,3(3)
1학년/2학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/2학기,교양필수,U00258,실용영어,3(3)
1학년/2학기,교양필수,U00365,일반물리실험(2),1(2)
1학년/2학기,교양필수,U00378,일반화학실험(2),1(2)
1학년/2학기,전공선택,TEX215,파이버시스템공학개론,3(3)
2학년/1학기,전공핵심,TEX091,섬유재료,3(3)
2학년/1학기,전공핵심,TEX128,유기화학,3(3)
2학년/1학기,전공선택,TEX201,공업수학,3(3)
2학년/1학기,전공선택,TEX141,재료역학,3(3)
2학년/2학기,전공핵심,TEX076,섬유물리,3(3)
2학년/2학기,전공핵심,TEX100,섬유화학,3(3)
2학년/2학기,전공선택,TEX036,물리화학,3(3)
2학년/2학기,전공선택,TEX079,섬유물리실험,1(2)
2학년/2학기,전공선택,TEX105,시스템동역학,3(3)
2학년/2학기,전공선택,TEX176,합성섬유,3(3)
3학년/1학기,전공핵심,TEX058,섬유가공,3(3)
3학년/1학기,전공핵심,TEX099,섬유형성공학,3(3)
3학년/1학기,전공핵심,TEX153,제직공학,3(3)
3학년/1학기,전공선택,TEX219,기기분석,3(3)
3학년/1학기,전공선택,TEX206,섬유가공실습,1(2)
3학년/1학기,전공선택,TEX122,염색화학,3(3)
3학년/1학기,전공선택,TEX123,염색화학실험,1(2)
3학년/2학기,전공핵심,TEX050,부직포공학,3(3)
3학년/2학기,전공핵심,TEX053,사설계공학,3(3)
3학년/2학기,전공핵심,TEX205,염색공정,3(3)
3학년/2학기,전공핵심,TEX170,편성공학,3(3)
3학년/2학기,전공선택,T00177,공업교재연구및지도법,3(3)
3학년/2학기,전공선택,TEX212,신소재기능성가공,3(3)
3학년/2학기,전공선택,TEX218,직편물설계학,3(3)
3학년/2학기,전공선택,TEX198,현장실습(융합섬유1),3(3)
4학년/1학기,전공핵심,TEX145,전공특강(1),1(1)
4학년/1학기,전공선택,T00161,공업교육론,3(3)
4학년/1학기,전공선택,TEX222,기능성섬유,3(3)
4학년/1학기,전공선택,TEX216,색채및프린팅테크놀로지,3(3)
4학년/1학기,전공선택,TEX060,섬유강화복합재료,3(3)
4학년/1학기,전공선택,TEX094,섬유집합체물성학,3(3)
4학년/1학기,전공선택,TEX210,섬유집합체설계실습,1(2)
4학년/1학기,전공선택,TEX213,종합설계(1),2(4)
4학년/1학기,전공선택,TEX199,현장실습(융합섬유2),3(3)
4학년/2학기,전공핵심,TEX220,신섬유소재공정,3(3)
4학년/2학기,전공핵심,TEX146,전공특강(2),1(1)
4학년/2학기,전공선택,T00147,공업논리및논술,2(2)
4학년/2학기,전공선택,TEX193,섬유강화복합재료실습,1(2)
4학년/2학기,전공선택,TEX217,섬유응용공학,3(3)
4학년/2학기,전공선택,TEX214,종합설계(2),2(4)
4학년/2학기,전공선택,TEX161,지오신세틱스공학,3(3)
4학년/2학기,전공선택,TEX221,탄소성형부품/소재제조실습,1(2)
4학년/2학기,전공선택,TEX204,테크니컬텍스타일,3(3)
