학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,전공필수,SID057,사회복지학개론,3(3)
1학년/2학기,전공필수,HUM037,사회복지학개론,3(3)
1학년/2학기,전공필수,HUM008,인간행동과사회환경,3(3)
2학년/1학기,전공필수,SID051,사회복지실천론,3(3)
2학년/1학기,전공필수,HUM004,사회복지정책론,3(3)
2학년/1학기,전공필수,SOC049,인간행동과사회환경,3(3)
2학년/2학기,전공필수,SID004,노인복지론,3(3)
2학년/2학기,전공필수,SWE004,청소년복지론,3(3)
2학년/2학기,전공선택,HUM015,가족상담및가족치료,3(3)
2학년/2학기,전공선택,SOC020,사회문제론,3(3)
2학년/2학기,전공선택,HUM026,사회복지와문화다양성,3(3)
3학년/1학기,전공필수,HUM005,사회복지조사론,3(3)
3학년/1학기,전공필수,SID056,사회복지조사론,3(3)
3학년/1학기,전공필수,HUM006,사회복지행정론,3(3)
3학년/1학기,전공선택,SWE009,장애인복지론,3(3)
3학년/2학기,전공필수,HUM016,사회복지법제와실천,3(3)
3학년/2학기,전공필수,SOC084,사회복지학개론,3(3)
3학년/2학기,전공필수,SID002,지역사회복지론,3(3)
3학년/2학기,전공선택,SOC085,빈곤론,3(3)
3학년/2학기,전공선택,HUM012,사회복지자료분석론,3(3)
4학년/1학기,전공선택,SWE010,아동복지론,3(3)
4학년/1학기,전공선택,HUM011,프로그램개발과평가,3(3)
4학년/1학기,전공선택,SID083,사회복지지도감독론,3(3)
4학년/2학기,전공필수,HUM010,사회복지실천기술론,3(3)
4학년/2학기,전공필수,FHS264,사회복지현장실습및세미나,3(3)
4학년/2학기,전공선택,HUM019,국제사회복지론,3(3)
4학년/2학기,전공선택,SID073,사례관리론,3(3)
4학년/2학기,전공선택,SOC023,사회보장론,3(3)
4학년/2학기,전공선택,HUM009,정신건강론,3(3)
