학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00189,사회체육,2(2)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/1학기,교양필수,U00258,실용영어,3(3)
1학년/1학기,교양필수,U00323,운동과건강,3(3)
1학년/1학기,전공필수,SPE071,특수교육학(체육),3(4)
1학년/1학기,전공선택,SPE024,스포츠사회학,3(3)
1학년/1학기,전공선택,SPE031,운동생리학,3(3)
1학년/1학기,전공선택,SPE062,체조지도법(1),1(1.5)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00213,생활체육,2(2)
1학년/2학기,전공필수,SPE122,장애아수중지도법,2(3)
1학년/2학기,전공필수,SPE098,장애학생통합교육(1),1(1.5)
1학년/2학기,전공필수,SPE082,특수체육현장교육(1),2(3)
1학년/2학기,전공선택,SPE121,스포츠상해관리(장애인스포츠),1(1)
1학년/2학기,전공선택,SPE032,운동역학,3(3)
1학년/2학기,전공선택,SPE039,육상지도법(1),1(1.5)
1학년/2학기,전공선택,SPE134,장애인생활체육프로그램(스포츠),2(3)
1학년/2학기,교직,T00023,교육학개론,2(2)
2학년/1학기,전공필수,SPE116,장애아운동발달(3)(해양스포츠),1(1.5)
2학년/1학기,전공필수,SPE123,장애유형별운동처방,2(2)
2학년/1학기,전공필수,SPE107,장애학생수중운동,2(3)
2학년/1학기,전공필수,SPE135,특수교육과교육정론,2(2)
2학년/1학기,전공필수,SPE083,특수체육현장교육(2),2(3)
2학년/1학기,교직,T00017,교육사회,2(2)
2학년/1학기,교직,T00019,교육심리,2(2)
2학년/1학기,교직,T00060,생활지도,2(2)
2학년/2학기,전공필수,SPE124,건강장애학생교육,2(2)
2학년/2학기,전공필수,SPE104,장애아운동발달(1)(농구),2(3)
2학년/2학기,전공필수,SPE097,장애아운동발달(2)(테니스),2(3)
2학년/2학기,전공필수,SPE103,장애학생통합교육(2),2(3)
2학년/2학기,전공선택,SPE102,배구,2(3)
2학년/2학기,전공선택,SPE025,스포츠심리학,3(3)
2학년/2학기,전공선택,SPE058,체육사,2(2)
2학년/2학기,전공선택,SPE078,특수체육측정평가,2(2)
2학년/2학기,교직,T00025,교육행정및교육경영,2(2)
2학년/2학기,교직,T00186,디지털교육,2(2)
2학년/2학기,교직,T00184,학교폭력예방및학생의이해,2(2)
3학년/1학기,전공필수,SPE047,장애인아체육지도법,2(3)
3학년/1학기,전공필수,SPE126,재활운동과마사지,2(3)
3학년/1학기,전공필수,SPE075,특수체육과연구및지도법,3(3)
3학년/1학기,전공필수,SPE084,특수체육현장교육(3),2(3)
3학년/1학기,전공선택,SPE118,장애학생운동프로그램,1(1.5)
3학년/1학기,교직,T00011,교육과정,2(2)
3학년/1학기,교직,T00022,교육평가,2(2)
3학년/1학기,교직,T00126,특수교육학개론,2(2)
3학년/2학기,전공필수,SPE095,중도장애인교육(스포츠),2(3)
3학년/2학기,전공필수,SPE128,지적장애학생교육(스포츠),3(3)
3학년/2학기,전공필수,SPE129,지체장애학생교육(스포츠),2(3)
3학년/2학기,전공필수,SPE138,특수교육교육과정(재활),3(3)
3학년/2학기,전공선택,SPE119,건강교육,3(3)
3학년/2학기,전공선택,SPE133,미래특수체육교육환경변화와교사,2(2)
3학년/2학기,전공선택,SPE036,유아및노인특수교육(체육),2(2)
3학년/2학기,교직,T00015,교육방법및교육공학,2(2)
3학년/2학기,교직,T00021,교육철학및교육사,2(2)
3학년/2학기,교직,T00026,교직실무,2(2)
4학년/1학기,전공필수,SPE125,시각장애학생교육(스포츠),2(3)
4학년/1학기,전공필수,SPE110,장애진단및평가,2(2)
4학년/1학기,전공필수,SPE136,특수교육교육과정(체육),2(2)
4학년/1학기,전공필수,SPE073,특수체육교육론,3(3)
4학년/1학기,교직,T00016,교육봉사활동,2(2)
4학년/1학기,교직,T00185,학교현장실습,2(2)
4학년/2학기,전공필수,SPE127,정서및행동장애학생교육(체육),2(2)
4학년/2학기,전공필수,SPE130,청각장애학생교육(스포츠),2(3)
4학년/2학기,전공필수,SPE137,특수교육교육과정(직업교육),2(2)
4학년/2학기,전공필수,SPE076,특수체육논리및논술,2(2)
4학년/2학기,전공선택,SPE120,특수체육자료교육,1(1.5)
4학년/2학기,교직,T00016,교육봉사활동,2(2)
