학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/1학기,교양필수,U00253,식품과건강,3(3)
1학년/1학기,교양필수,U00374,일반화학(1),3(3)
1학년/1학기,전공선택,FAN072,생활과학의이해,1(1)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00258,실용영어,3(3)
1학년/2학기,교양필수,U00336,의사소통기술,3(3)
1학년/2학기,교양필수,U00469,통계학(1),3(3)
1학년/2학기,전공핵심,FAN053,인체생리학,3(3)
2학년/1학기,전공핵심,FAN007,기초영양학,3(3)
2학년/1학기,전공핵심,FAN016,생화학(1),3(3)
2학년/1학기,전공핵심,FAN040,식품학,3(3)
2학년/1학기,전공선택,FAN065,조리원리,3(3)
2학년/1학기,전공선택,FAN066,조리원리실습,2(4)
2학년/2학기,전공핵심,FAN003,고급영양학,3(3)
2학년/2학기,전공핵심,FAN017,생화학(2),3(3)
2학년/2학기,전공핵심,FAN041,식품화학,3(3)
2학년/2학기,전공선택,FAN006,급식영양학,3(3)
2학년/2학기,전공선택,FAN018,생화학실험,1(2)
3학년/1학기,전공핵심,FAN004,공중보건학,3(3)
3학년/1학기,전공핵심,FAN029,식품미생물학,3(3)
3학년/1학기,전공선택,FAN073,식생활의과학,2(2)
3학년/1학기,전공선택,FAN030,식품미생물학실험,1(2)
3학년/1학기,전공선택,FAN031,식품영양분석,3(3)
3학년/1학기,전공선택,FAN032,식품영양분석실험,1(2)
3학년/1학기,전공선택,FAN061,임상영양학,3(3)
3학년/2학기,전공핵심,FAN020,식사요법,3(3)
3학년/2학기,전공핵심,FAN037,식품위생학,3(3)
3학년/2학기,전공핵심,FAN045,영양교육및상담,3(3)
3학년/2학기,전공선택,FAN021,식사요법실습,1(2)
3학년/2학기,전공선택,FAN023,식생활관리,3(3)
4학년/1학기,전공핵심,FAN008,단체급식관리,3(3)
4학년/1학기,전공선택,FAN009,단체급식관리실습,1(2)
4학년/1학기,전공선택,FAN013,생애주기영양학,3(3)
4학년/1학기,전공선택,FAN036,식품위생관계법규,1(1)
4학년/1학기,전공선택,FAN048,영양판정,3(3)
4학년/2학기,전공선택,FAN026,식품가공및저장학,3(3)
4학년/2학기,전공선택,FAN043,실험조리,2(4)
4학년/2학기,전공선택,FAN047,영양사현장실습,2(2)
4학년/2학기,전공선택,FAN067,지역사회영양학,3(3)
