학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/1학기,교양필수,U00558,생명과학(1),3(3)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/1학기,교양필수,U00374,일반화학(1),3(3)
1학년/1학기,교양필수,U00377,일반화학실험(1),1(2)
1학년/2학기,교양필수,U00258,실용영어,3(3)
1학년/2학기,교양필수,U00335,응용통계학,3(3)
1학년/2학기,교양필수,U00336,의사소통기술,3(3)
1학년/2학기,전공선택,MBI016,성의과학,3(3)
1학년/2학기,전공선택,MBI031,의생명공학입문,3(3)
2학년/1학기,전공핵심,MBI003,분자생물학,3(3)
2학년/1학기,전공핵심,MBI007,세포생물학,3(3)
2학년/1학기,전공핵심,MBI009,유기화학,3(3)
2학년/1학기,전공핵심,MBI037,인체유전학,3(3)
2학년/1학기,전공선택,MBI004,분자생물학실험,2(4)
2학년/2학기,전공핵심,MBI048,기초바이오의약품,3(3)
2학년/2학기,전공핵심,MBI013,발생생물학,3(3)
2학년/2학기,전공핵심,MBI005,생화학,3(3)
2학년/2학기,전공핵심,MBI018,줄기세포학,3(3)
2학년/2학기,전공선택,MBI008,세포생물학실험,2(4)
2학년/2학기,전공선택,MBI011,인체해부학,3(3)
3학년/1학기,전공핵심,MBI001,면역학,3(3)
3학년/1학기,전공핵심,MBI017,실험동물학,3(3)
3학년/1학기,전공핵심,MBI028,심화생화학,3(3)
3학년/1학기,전공핵심,MBI010,인체생리학,3(3)
3학년/1학기,전공선택,MBI044,대사공학,3(3)
3학년/1학기,전공선택,MBI023,분자약학,3(3)
3학년/1학기,전공선택,MBI006,생화학실험,2(4)
3학년/2학기,전공핵심,MBI012,기기분석학,3(3)
3학년/2학기,전공핵심,MBI025,세포분자약학,3(3)
3학년/2학기,전공선택,MBI042,내분비학,3(3)
3학년/2학기,전공선택,MBI015,단백질공학,3(3)
3학년/2학기,전공선택,MBI019,신경생물학,3(3)
3학년/2학기,전공선택,MBI032,의생명공학특수연구1,3(5)
3학년/2학기,전공선택,MBI041,현장실습(의생명공학),3(3)
4학년/1학기,전공선택,MBI021,단백체학,3(3)
4학년/1학기,전공선택,MBI046,바이오의약품생산/품질관리(1),3(3)
4학년/1학기,전공선택,MBI049,바이오캡스톤디자인(의생명공학과)(1),2(4)
4학년/1학기,전공선택,MBI014,암생물학,3(3)
4학년/1학기,전공선택,MBI033,의생명공학특수연구2,3(5)
4학년/1학기,전공선택,MBI034,의약산업공학,3(3)
4학년/1학기,전공선택,MBI041,현장실습(의생명공학),3(3)
4학년/2학기,전공선택,MBI002,바이러스학,3(3)
4학년/2학기,전공선택,MBI047,바이오의약품생산/품질관리(2),3(3)
4학년/2학기,전공선택,MBI050,바이오캡스톤디자인(의생명공학과)(2),2(4)
4학년/2학기,전공선택,MBI020,백신공학,3(3)
4학년/2학기,전공선택,MBI045,세포배양학,3(3)
4학년/2학기,전공선택,MBI038,인체조직학,3(3)
