학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00145,미분적분학(1),3(3)
1학년/1학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/1학기,교양필수,U00361,일반물리(1),3(3)
1학년/1학기,교양필수,U00364,일반물리실험(1),1(2)
1학년/1학기,교양필수,U00374,일반화학(1),3(3)
1학년/1학기,교양필수,U00377,일반화학실험(1),1(2)
1학년/2학기,교양필수,U00800,계열실무영어,3(3)
1학년/2학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/2학기,교양필수,U00365,일반물리실험(2),1(2)
1학년/2학기,교양필수,U00378,일반화학실험(2),1(2)
1학년/2학기,교양필수,U00798,파이썬프로그래밍,3(3)
1학년/2학기,전공선택,CEN175,화공기초설계,2(2)
2학년/1학기,전공핵심,CPB005,공업수학(1),3(3)
2학년/1학기,전공핵심,CPB008,분석화학,3(3)
2학년/1학기,전공핵심,CPB013,유기화학(1),3(3)
2학년/1학기,전공선택,CPB009,분자생물학,3(3)
2학년/1학기,전공선택,CPB015,재료과학,3(3)
2학년/2학기,전공핵심,CPB001,고분자물성,3(3)
2학년/2학기,전공핵심,CPB007,물리화학,3(3)
2학년/2학기,전공핵심,CPB014,유기화학(2),3(3)
2학년/2학기,전공핵심,CPB028,재료계면화학,3(3)
2학년/2학기,전공선택,CPB055,고분자바이오소재기초실험,2(4)
2학년/2학기,전공선택,CPB052,단위조작,3(3)
2학년/2학기,전공선택,CPB010,생물화학,3(3)
2학년/2학기,전공선택,CPB053,생활용고분자,3(3)
2학년/2학기,전공선택,CPB012,실험계획법,3(3)
3학년/1학기,전공핵심,CPB023,고분자프로세싱,3(3)
3학년/1학기,전공핵심,CPB003,고분자화학(1),3(3)
3학년/1학기,전공핵심,CPB044,바이오생체재료,3(3)
3학년/1학기,전공핵심,CPB022,유기파이버소재,3(3)
3학년/1학기,전공선택,CPB056,고분자바이오소재심화실험,2(4)
3학년/1학기,전공선택,CPB006,기기분석(1),3(3)
3학년/1학기,전공선택,CPB061,바이오캡스톤디자인(고분자바이오시스템)1,2(4)
3학년/2학기,전공선택,CPB042,고분자전자재료,3(3)
3학년/2학기,전공선택,CPB004,고분자화학(2),3(3)
3학년/2학기,전공선택,T00177,공업교재연구및지도법,3(3)
3학년/2학기,전공선택,CPB054,기기분석실험,1(2)
3학년/2학기,전공선택,CPB062,바이오캡스톤디자인(고분자바이오시스템)2,2(4)
3학년/2학기,전공선택,CPB036,생체조직공학,3(3)
3학년/2학기,전공선택,CPB032,엔지니어링플라스틱,3(3)
3학년/2학기,전공선택,CPB057,파이버복합소재,3(3)
4학년/1학기,전공핵심,CPB024,고분자물리,3(3)
4학년/1학기,전공선택,CPB041,고분자나노재료,3(3)
4학년/1학기,전공선택,CPB025,고분자필름소재,3(3)
4학년/1학기,전공선택,T00161,공업교육론,3(3)
4학년/1학기,전공선택,CPB059,바이오의약품생산공정실무,3(4)
4학년/1학기,전공선택,CPB017,현장실습(화공1),3(3)
4학년/1학기,전공선택,CPB016,화공세미나,1(1)
4학년/1학기,전공선택,CPB037,화학공학캡스톤디자인(1),2(4)
4학년/2학기,전공선택,CPB002,고분자유변학,3(3)
4학년/2학기,전공선택,T00147,공업논리및논술,2(2)
4학년/2학기,전공선택,CPB060,바이오의약품품질관리실무전문가,3(4)
4학년/2학기,전공선택,CPB046,스마트고분자재료,3(3)
4학년/2학기,전공선택,CPB030,하이테크파이버,3(3)
4학년/2학기,전공선택,CPB018,현장실습(화공2),3(3)
4학년/2학기,전공선택,CPB016,화공세미나,1(1)
