학년/학기,구분,학수번호,교과목명,학점(시간)
1학년/1학기,교양필수,U00801,C프로그래밍,3(3)
1학년/1학기,교양필수,U00645,대학생활설계,1(1)
1학년/1학기,교양필수,U00145,미분적분학(1),3(3)
1학년/1학기,교양필수,U00787,사회공헌과봉사,1(1)
1학년/1학기,교양필수,U00361,일반물리(1),3(3)
1학년/1학기,교양필수,U00364,일반물리실험(1),1(2)
1학년/1학기,전공선택,AME060,공학입문설계,1(1)
1학년/1학기,전공선택,AME077,미래자동차공학기초,3(3)
1학년/2학기,교양필수,U00786,소프트웨어와인공지능,3(3)
1학년/2학기,교양필수,U00258,실용영어,3(3)
1학년/2학기,교양필수,U00514,행렬및행렬식,3(3)
1학년/2학기,전공핵심,AME014,전산기계제도,1(2)
1학년/2학기,전공선택,AME059,임베디드시스템,3(3)
2학년/1학기,전공핵심,AME019,3D모델링,2(3)
2학년/1학기,전공핵심,AME002,고체역학,3(3)
2학년/1학기,전공핵심,AME005,공학설계,1(1)
2학년/1학기,전공핵심,AME067,일반자동차기능실험,1(2)
2학년/1학기,전공핵심,AME068,자동차전기전자회로,3(3)
2학년/1학기,전공선택,AME076,공업수학,3(3)
2학년/1학기,전공선택,AME009,수치해석,3(3)
2학년/2학기,전공핵심,AME008,동역학,3(3)
2학년/2학기,전공핵심,AME012,유체역학,3(3)
2학년/2학기,전공핵심,AME046,전기자동차공학,3(3)
2학년/2학기,전공핵심,AME074,전기자동차기능실험,1(2)
2학년/2학기,전공선택,AME062,ROS기반임베디드시스템응용,3(3)
2학년/2학기,전공선택,AME040,자동차전산구조해석,3(3)
3학년/1학기,전공핵심,AME006,기계요소설계,3(3)
3학년/1학기,전공핵심,AME064,미래자동차융합실험,1(2)
3학년/1학기,전공핵심,AME079,자동차재료및가공,3(3)
3학년/1학기,전공선택,AME011,열전달,3(3)
3학년/1학기,전공선택,AME058,자동차공학,3(3)
3학년/1학기,전공선택,AME041,자동차전산열유체해석,3(3)
3학년/1학기,전공선택,AME045,자율주행자동차,3(3)
3학년/2학기,전공핵심,AME061,3D모델링응용,2(3)
3학년/2학기,전공핵심,AME055,자동차공학과제1(캡스톤디자인),2(4)
3학년/2학기,전공선택,AME032,자동차생산공학,3(3)
3학년/2학기,전공선택,AME039,자동차전산Dynamics해석,3(3)
3학년/2학기,전공선택,AME043,자동차진동공학,3(3)
3학년/2학기,전공선택,AME071,자율주행센서,3(3)
3학년/2학기,전공선택,AME072,자율주행인공지능,3(3)
3학년/2학기,전공선택,AME073,전기모터,3(3)
4학년/1학기,전공핵심,AME056,자동차공학과제2(캡스톤디자인),2(4)
4학년/1학기,전공선택,AME078,e-파워트레인설계,2(2)
4학년/1학기,전공선택,AME063,기구학기초,2(2)
4학년/1학기,전공선택,AME065,열역학기초,2(2)
4학년/1학기,전공선택,AME066,이차전지및연료전지,3(3)
4학년/1학기,전공선택,AME013,자동제어,3(3)
4학년/1학기,전공선택,AME022,자동차NVH,2(2)
4학년/1학기,전공선택,AME069,자동차전산성형해석,2(3)
4학년/1학기,전공선택,AME070,자동차전산전자기장해석,2(3)
4학년/1학기,전공선택,AME057,취업/현장기술세미나,1(1)
4학년/1학기,전공선택,AME050,현장실습(자동차기계),3(3)
4학년/2학기,전공선택,AME021,미래스마트자동차,3(3)
4학년/2학기,전공선택,AME050,현장실습(자동차기계),3(3)
